vegetation_coverage,excess_green_mean,excess_green_std,texture_variation,component_density,row_alignment,weed_present
0.3297,0.2644,0.0968,0.0829,3.5696,0.6879,0
0.2091,0.2512,0.0883,0.068,3.0132,0.8259,0
0.6527,0.1015,0.1659,0.1596,8.3133,0.2961,1
0.2275,0.2124,0.0752,0.0507,4.1334,0.6577,0
0.4403,0.2285,0.0788,0.0749,6.2505,0.7779,0
0.3371,0.1529,0.1156,0.1696,5.5222,0.5023,1
0.3604,0.2118,0.0632,0.0618,2.6106,0.4962,0
0.4492,0.1779,0.1077,0.196,5.1667,0.4618,0
0.4335,0.133,0.1391,0.1788,7.3127,0.3907,1
0.1139,0.2309,0.0753,0.102,3.0761,0.6825,0
0.2115,0.1475,0.1362,0.0948,2.2081,0.5332,0
0.2249,0.2328,0.0637,0.0696,4.1233,0.6447,0
0.4537,0.2067,0.1754,0.2044,4.6642,0.3647,1
0.2138,0.1681,0.0805,0.1273,2.9469,0.6553,0
0.3352,0.214,0.1174,0.1037,3.867,0.5928,1
0.3081,0.2644,0.0685,0.0964,3.6743,0.5342,1
0.2618,0.2073,0.1402,0.1214,3.3094,0.3286,1
0.3878,0.1907,0.1062,0.1181,4.5426,0.4276,0
0.2299,0.1924,0.0899,0.0993,3.0303,0.6735,0
0.4649,0.164,0.0958,0.1636,5.7959,0.3787,1
0.4909,0.1628,0.1409,0.1284,7.9146,0.272,1
0.4808,0.1777,0.1432,0.1419,4.7282,0.3161,1
0.4914,0.1289,0.1452,0.223,6.9873,0.2408,1
0.155,0.1748,0.1222,0.1033,3.4137,0.6696,0
0.4025,0.1906,0.1491,0.1498,5.3176,0.3411,1
0.2959,0.2364,0.0862,0.0823,5.5579,0.5251,1
0.359,0.1734,0.1636,0.1507,5.5224,0.2804,1
0.3727,0.1915,0.119,0.1868,4.0071,0.4306,1
0.399,0.2326,0.1326,0.1347,7.3237,0.4032,1
0.1587,0.2096,0.0904,0.1127,2.3381,0.8132,0
0.4825,0.2085,0.1381,0.1795,4.181,0.3618,1
0.4608,0.1079,0.0966,0.2079,5.8565,0.2627,1
0.1218,0.3144,0.0625,0.0293,0.0,0.8504,0
0.1484,0.308,0.0461,0.0535,0.0,0.7929,0
0.5366,0.1378,0.1741,0.1866,5.7369,0.2683,1
0.2986,0.2775,0.1348,0.102,3.5314,0.7369,0
0.3381,0.2175,0.1278,0.1414,5.2822,0.5031,1
0.1697,0.2159,0.0733,0.0863,2.607,0.7266,0
0.3698,0.1805,0.0927,0.2003,4.8194,0.5364,0
0.4852,0.217,0.1145,0.1702,4.306,0.4281,1
0.5074,0.1841,0.1818,0.132,7.0792,0.4275,1
0.5621,0.0849,0.1416,0.2467,8.3962,0.1809,1
0.2301,0.2463,0.0304,0.0655,2.3355,0.7738,0
0.2353,0.2127,0.1278,0.1852,4.288,0.5408,0
0.3205,0.1633,0.1503,0.1926,3.4521,0.525,1
0.3714,0.2738,0.156,0.1379,5.9361,0.4135,0
0.3742,0.1759,0.1517,0.1892,7.1883,0.3525,1
0.2555,0.2016,0.1315,0.1076,4.2079,0.5843,1
0.1777,0.2629,0.1015,0.1129,2.8365,0.5977,0
0.218,0.1973,0.061,0.1369,3.4045,0.4905,0
0.1963,0.2854,0.0824,0.1127,1.7987,0.7923,0
0.2683,0.1552,0.1087,0.1322,2.7988,0.6536,0
0.314,0.1698,0.1148,0.1458,5.1872,0.4574,1
0.49,0.1828,0.1433,0.271,6.7317,0.2434,1
0.4457,0.2088,0.1245,0.1798,7.2472,0.3299,1
0.5415,0.1134,0.1247,0.1444,6.6807,0.3473,1
0.2769,0.1809,0.1364,0.069,2.5146,0.4465,0
0.3734,0.2221,0.1479,0.1749,3.5737,0.5377,0
0.4835,0.1213,0.1436,0.1882,5.6734,0.3537,1
0.4275,0.1201,0.1589,0.2126,6.674,0.0537,1
0.4097,0.2026,0.1107,0.1502,7.1631,0.3999,0
0.1626,0.2138,0.1007,0.0765,4.5619,0.7032,0
0.3384,0.1157,0.1487,0.1128,5.1173,0.5345,0
0.2922,0.1453,0.0811,0.1471,4.276,0.564,0
0.4446,0.1655,0.1411,0.1664,4.1072,0.3485,1
0.3883,0.0726,0.1538,0.2026,6.4194,0.2218,1
0.3483,0.1815,0.1247,0.1476,3.529,0.3404,1
0.5335,0.0799,0.1831,0.1897,8.298,0.3477,1
0.5324,0.2093,0.1859,0.1496,4.7328,0.3479,1
0.4419,0.2265,0.1429,0.1512,6.8763,0.3706,1
0.2447,0.1906,0.1029,0.1838,1.839,0.5795,0
0.4223,0.1793,0.131,0.2092,5.2973,0.4544,1
0.3001,0.2083,0.0681,0.1176,2.8174,0.5709,0
0.1897,0.2072,0.1032,0.0877,4.2769,0.5163,0
0.4328,0.2121,0.1609,0.1978,6.4266,0.2876,1
0.4226,0.2102,0.0963,0.0731,3.6397,0.6748,0
0.2204,0.2241,0.0702,0.0507,1.9449,0.7819,0
0.3374,0.1163,0.1295,0.1641,6.1662,0.3124,1
0.2844,0.2499,0.0983,0.1652,4.8869,0.4565,0
0.0945,0.0959,0.0766,0.1255,3.3083,0.5391,0
0.3067,0.1967,0.1073,0.0847,2.936,0.5107,0
0.5205,0.1441,0.1521,0.1814,5.967,0.4782,1
0.1488,0.2217,0.0995,0.0983,3.1086,0.7572,0
0.46,0.1742,0.1305,0.1807,5.4077,0.3654,1
0.5354,0.191,0.1341,0.1966,5.4261,0.2696,1
0.234,0.1401,0.1432,0.1459,4.7909,0.4966,1
0.204,0.3015,0.0956,0.1217,2.8874,0.635,0
0.2281,0.1767,0.0896,0.0998,1.2322,0.5997,0
0.4773,0.1782,0.1523,0.1929,8.3797,0.2026,1
0.2372,0.2346,0.1148,0.0813,1.7874,0.567,0
0.1502,0.2195,0.1087,0.0514,2.2417,0.6277,0
0.384,0.168,0.1421,0.1008,4.0669,0.4532,1
0.5002,0.1304,0.1532,0.2033,6.5242,0.1799,1
0.5177,0.1494,0.1294,0.2208,5.5597,0.3045,1
0.254,0.1967,0.1276,0.0509,3.4023,0.6627,0
0.3368,0.1928,0.1258,0.1358,4.0739,0.5039,0
0.0922,0.2267,0.0649,0.0888,2.6966,0.6667,0
0.2618,0.1886,0.1152,0.033,1.9279,0.6627,1
0.3599,0.1483,0.1111,0.1432,6.9535,0.3961,1
0.3627,0.1377,0.1484,0.1977,2.8063,0.4507,1
0.2308,0.2449,0.101,0.0771,0.0,0.8371,0
0.3295,0.201,0.1017,0.0922,6.464,0.3467,0
0.3368,0.2331,0.104,0.1179,3.3747,0.7935,0
0.3194,0.316,0.1025,0.0659,2.8864,0.6478,0
0.3975,0.1031,0.1676,0.1603,4.8265,0.51,1
0.2723,0.2183,0.0954,0.1098,4.6388,0.4481,0
0.3804,0.1311,0.1819,0.2062,7.1604,0.3333,1
0.4102,0.2267,0.114,0.1205,3.3233,0.4771,0
0.2639,0.2564,0.0678,0.0989,3.7415,0.5859,0
0.3959,0.1512,0.1339,0.1604,6.4232,0.3006,1
0.4182,0.2001,0.1143,0.1309,5.7535,0.4623,1
0.3745,0.1336,0.1117,0.136,7.3035,0.4014,1
0.2747,0.2359,0.1091,0.1319,3.9188,0.5679,0
0.4604,0.0872,0.1527,0.1777,4.3533,0.3608,0
0.1237,0.2842,0.0815,0.0217,3.6635,0.659,0
0.3949,0.1718,0.1162,0.1904,4.1384,0.3429,1
0.3925,0.1816,0.1063,0.1235,4.3432,0.4774,0
0.2273,0.2347,0.0824,0.0854,2.0072,0.7172,0
0.4263,0.1855,0.1194,0.1621,3.9509,0.5314,1
0.2615,0.3039,0.0997,0.0814,2.7022,0.7752,0
0.3292,0.3298,0.1151,0.1644,4.2744,0.5118,1
0.2529,0.2248,0.097,0.1482,5.54,0.4475,1
0.3921,0.1285,0.1293,0.2161,5.2223,0.3069,1
0.4586,0.1937,0.133,0.1692,5.1571,0.2484,1
0.1933,0.2436,0.1221,0.1265,2.6042,0.5572,0
0.2992,0.1673,0.1333,0.1373,3.6777,0.4965,1
0.2105,0.2028,0.1122,0.1073,1.7676,0.6333,0
0.4165,0.1981,0.1122,0.1509,5.868,0.4671,1
0.3336,0.2178,0.1343,0.133,4.3797,0.4646,1
0.4427,0.0779,0.1169,0.1756,4.2667,0.1959,1
0.3473,0.1634,0.1235,0.1373,5.7617,0.4229,1
0.2831,0.2488,0.0723,0.0781,3.448,0.7341,0
0.3855,0.177,0.1242,0.1262,4.9218,0.2861,1
0.3866,0.2591,0.1691,0.0634,3.5143,0.5047,1
0.3781,0.107,0.1389,0.1247,4.5888,0.275,1
0.3269,0.298,0.0903,0.1851,5.8277,0.4652,1
0.3762,0.131,0.1228,0.1187,4.404,0.4654,1
0.2957,0.1227,0.0972,0.1827,2.1533,0.4462,0
0.4076,0.1873,0.0973,0.1538,4.7987,0.5158,1
0.3454,0.1522,0.1536,0.1313,5.3556,0.6086,0
0.4523,0.1699,0.1492,0.1171,5.3661,0.4667,1
0.2122,0.2464,0.0861,0.0747,1.1454,0.783,0
0.3539,0.1917,0.1025,0.1873,3.0785,0.3978,1
0.311,0.1591,0.1083,0.1848,3.4253,0.4626,0
0.4684,0.1502,0.1828,0.2138,8.2998,0.2872,1
0.5182,0.1436,0.1434,0.1447,5.7539,0.4103,1
0.3541,0.2495,0.045,0.0953,2.1534,0.671,0
0.437,0.1286,0.1985,0.1766,7.0399,0.347,1
0.3857,0.1443,0.1243,0.1876,4.8855,0.5155,1
0.2922,0.0926,0.1418,0.2238,5.2209,0.5662,1
0.4202,0.1456,0.1614,0.1893,4.9579,0.3338,1
0.564,0.0821,0.1613,0.1965,5.7149,0.2266,1
0.3618,0.131,0.1343,0.1933,5.7448,0.4662,0
0.4956,0.1607,0.1393,0.1686,6.7514,0.2027,1
0.0847,0.1534,0.0701,0.104,3.5326,0.6104,0
0.4349,0.2076,0.1462,0.1989,6.282,0.1823,1
0.4162,0.1813,0.1543,0.1324,5.3977,0.3703,1
0.4153,0.1764,0.1107,0.1355,4.4698,0.4161,1
0.3601,0.1691,0.0889,0.0968,3.4169,0.6267,0
0.4771,0.1697,0.1724,0.241,7.6867,0.3631,1
0.4059,0.1672,0.1213,0.2242,6.7924,0.3063,1
0.3084,0.1503,0.1157,0.1585,3.7313,0.5899,0
0.3344,0.2016,0.1065,0.1291,4.1004,0.4972,0
0.093,0.1942,0.0703,0.0429,2.3923,0.7674,0
0.3493,0.085,0.1095,0.1858,7.9461,0.1885,1
0.1769,0.1887,0.0783,0.0758,4.4703,0.5903,0
0.5653,0.1588,0.1491,0.1891,5.4953,0.3802,1
0.442,0.151,0.145,0.1974,7.3095,0.3343,1
0.4171,0.2138,0.1507,0.1495,5.2519,0.4096,1
0.208,0.198,0.1251,0.0852,3.6824,0.6629,0
0.1168,0.2633,0.1151,0.0791,3.2011,0.5507,0
0.4333,0.1775,0.1395,0.1407,3.5148,0.4328,1
0.2484,0.1437,0.1186,0.1376,5.354,0.5507,1
0.1531,0.2701,0.0633,0.0913,2.8329,0.809,0
0.3569,0.1859,0.1175,0.0898,4.4963,0.4555,1
0.214,0.2243,0.0908,0.1216,1.7948,0.8267,1
0.2433,0.2181,0.1162,0.1156,1.8104,0.473,0
0.2664,0.177,0.1336,0.1683,5.4564,0.3633,1
0.1482,0.2448,0.0757,0.0944,2.1883,0.8566,0
0.2031,0.2147,0.1062,0.0736,1.8599,0.6772,0
0.2636,0.1554,0.1305,0.094,3.4144,0.5164,0
0.4462,0.1809,0.1414,0.1239,5.1015,0.42,1
0.2646,0.1651,0.1111,0.1257,3.6054,0.4346,1
0.2486,0.1971,0.0696,0.1084,2.5134,0.679,0
0.3647,0.1808,0.0988,0.1233,2.6895,0.4886,0
0.45,0.2056,0.1112,0.175,6.3649,0.4195,1
0.2619,0.2303,0.1008,0.0332,3.1348,0.506,0
0.4082,0.167,0.1277,0.1316,3.4269,0.4858,0
0.3605,0.1616,0.0914,0.1825,2.2219,0.4074,0
0.3772,0.2174,0.105,0.1339,5.4064,0.3999,0
0.2675,0.0936,0.1215,0.117,5.0365,0.5705,1
0.0225,0.2887,0.0565,0.0463,1.9513,0.9039,0
0.4532,0.0867,0.1426,0.0823,6.4703,0.5169,1
0.3777,0.1351,0.109,0.109,5.2488,0.5298,1
0.3282,0.191,0.0883,0.1487,3.7752,0.5335,0
0.4807,0.2174,0.1544,0.1906,6.6153,0.2354,1
0.5571,0.2146,0.1506,0.1751,5.764,0.3392,1
0.1587,0.283,0.0588,0.01,2.247,0.6885,0
0.5232,0.1503,0.1451,0.1531,8.0469,0.3675,1
0.4744,0.0841,0.1452,0.2123,5.6292,0.1867,1
0.4354,0.2054,0.0953,0.1495,5.5618,0.483,1
0.3451,0.165,0.085,0.1057,4.9508,0.5238,1
0.1726,0.2124,0.0511,0.0604,2.6016,0.6169,0
0.1791,0.2294,0.0871,0.103,5.5112,0.5808,0
0.3669,0.2026,0.0702,0.07,4.832,0.6405,1
0.4072,0.215,0.1154,0.0921,6.5327,0.5548,1
0.3517,0.1246,0.142,0.1229,3.1681,0.4145,0
0.5717,0.1822,0.0955,0.1706,7.0892,0.3198,1
0.4368,0.1316,0.1251,0.1852,5.319,0.3054,1
0.3568,0.1436,0.1776,0.2012,5.4468,0.2321,1
0.1267,0.2852,0.0726,0.01,0.0,0.6754,0
0.3207,0.1366,0.1144,0.1528,5.1373,0.3596,0
0.413,0.1659,0.1323,0.1677,4.6182,0.4511,1
0.453,0.1354,0.1536,0.1905,6.7363,0.2677,1
0.3953,0.1353,0.1678,0.1667,4.4435,0.3642,1
0.2014,0.1983,0.0887,0.0909,5.1519,0.4999,0
0.4124,0.1988,0.0917,0.0338,4.3985,0.5801,0
0.5215,0.1031,0.1238,0.2393,9.0167,0.4038,1
0.1468,0.2649,0.0717,0.0672,0.4014,0.6894,0
0.4745,0.1511,0.1055,0.1279,7.1318,0.5018,1
0.4233,0.1508,0.1162,0.1721,3.2532,0.4432,1
0.4177,0.2365,0.1088,0.1471,5.3594,0.4063,1
0.335,0.2303,0.1229,0.102,2.8604,0.5952,0
0.3006,0.1989,0.0909,0.0909,3.0229,0.5965,0
0.42,0.1869,0.1298,0.1674,4.3039,0.5851,1
0.5038,0.1099,0.1085,0.1611,5.1261,0.3617,1
0.1584,0.2516,0.0694,0.0194,0.0,0.821,0
0.3621,0.1699,0.0967,0.1834,4.3087,0.4094,1
0.5329,0.1078,0.1279,0.1722,5.8849,0.4132,1
0.1208,0.2843,0.1112,0.0482,2.4194,0.7,0
0.4185,0.155,0.1441,0.1786,5.3509,0.4228,0
0.178,0.2531,0.0653,0.0342,2.4802,1.0,0
0.0967,0.2522,0.1271,0.0316,0.0,0.6001,0
0.218,0.3426,0.0766,0.1119,2.6336,0.6225,0
0.2378,0.2005,0.1164,0.0533,3.662,0.6366,0
0.2645,0.1309,0.0708,0.1212,3.8369,0.5448,1
0.3751,0.0855,0.1367,0.1641,5.2405,0.2979,1
0.4719,0.1614,0.1261,0.2332,7.7855,0.2501,1
0.496,0.1963,0.1509,0.2107,5.8407,0.2684,1
0.3255,0.2034,0.092,0.108,2.0277,0.6465,0
0.4492,0.2184,0.1243,0.1186,5.8674,0.3441,1
0.2718,0.1924,0.1551,0.1688,5.5694,0.5275,1
0.5387,0.1276,0.1392,0.1676,6.1614,0.2386,1
0.2682,0.2004,0.1098,0.1168,3.0547,0.5974,0
0.3705,0.2022,0.1296,0.0662,3.1856,0.4369,1
0.3357,0.2326,0.0819,0.0866,3.7555,0.575,0
0.3402,0.2076,0.1002,0.175,5.4864,0.5366,0
0.2794,0.1899,0.1005,0.122,3.6065,0.6092,0
0.3553,0.1829,0.129,0.1308,5.4216,0.3884,0
0.275,0.3309,0.1061,0.0446,2.4667,0.6501,0
0.2626,0.2353,0.0899,0.0691,2.4125,0.7427,0
0.3995,0.2331,0.1047,0.1379,2.4681,0.4425,0
0.4061,0.2141,0.0972,0.1281,3.4285,0.5321,0
0.4503,0.1804,0.1357,0.2108,4.621,0.3159,1
0.3574,0.1531,0.1361,0.1821,5.3844,0.392,1
0.3224,0.2643,0.0867,0.0998,3.876,0.5653,0
0.235,0.2545,0.092,0.0594,3.9751,0.5327,0
0.4029,0.1991,0.1282,0.132,6.7258,0.4088,1
0.3376,0.1471,0.1144,0.1636,4.3076,0.3683,1
0.1473,0.2579,0.068,0.071,3.92,0.7071,1
0.494,0.18,0.1295,0.1349,6.3445,0.4485,1
0.4321,0.1269,0.0875,0.2082,6.286,0.187,1
0.4289,0.2957,0.1051,0.1884,4.9906,0.4632,1
0.4546,0.0937,0.115,0.1847,7.1093,0.2451,1
0.241,0.2626,0.1189,0.137,3.004,0.6556,0
0.2752,0.1853,0.0888,0.1263,3.1074,0.6531,0
0.1907,0.2286,0.0842,0.1363,2.4756,0.5984,0
0.2659,0.3268,0.094,0.0846,0.7108,0.6251,0
0.2685,0.1602,0.0989,0.1253,4.1737,0.6451,1
0.3089,0.17,0.1026,0.1251,3.3815,0.4935,0
0.3149,0.2262,0.0951,0.1161,1.8816,0.5387,0
0.4891,0.1113,0.1358,0.2154,6.699,0.3439,1
0.0707,0.3003,0.0609,0.0607,0.0,0.6709,0
0.5238,0.1242,0.1238,0.2175,7.0653,0.2824,1
0.414,0.194,0.107,0.1493,5.8409,0.3374,1
0.4124,0.103,0.1386,0.2058,5.4292,0.2841,1
0.2676,0.1686,0.0906,0.1145,2.3277,0.6482,0
0.4381,0.1458,0.1096,0.201,4.688,0.4076,1
0.3057,0.1199,0.1361,0.1536,5.5064,0.5311,1
0.4186,0.2692,0.12,0.1419,3.8925,0.617,0
0.3382,0.1353,0.1317,0.1071,4.4544,0.5233,0
0.3358,0.1544,0.1185,0.1405,4.7176,0.4736,1
0.496,0.144,0.1681,0.2206,6.3528,0.0404,1
0.3461,0.1974,0.1407,0.0667,1.6837,0.6202,0
0.2297,0.1655,0.0876,0.1148,3.943,0.4292,0
0.2002,0.2957,0.0803,0.0766,4.1647,0.4109,0
0.4298,0.1064,0.1128,0.1774,5.69,0.2896,1
0.2699,0.2454,0.1118,0.0713,2.2962,0.7375,0
0.4675,0.1583,0.1662,0.1456,6.6635,0.3446,1
0.3956,0.1976,0.1108,0.1671,6.4406,0.5134,1
0.524,0.176,0.122,0.1798,5.2129,0.3822,1
0.4293,0.1462,0.1165,0.1287,3.4039,0.4097,1
0.401,0.1538,0.1552,0.1843,4.0791,0.4925,1
0.4521,0.1406,0.1157,0.1637,5.7827,0.4402,1
0.3089,0.2455,0.0609,0.1811,4.8793,0.6114,0
0.1797,0.1915,0.1295,0.0837,1.7681,0.5962,0
0.4644,0.2296,0.1482,0.1524,5.5298,0.2679,1
0.4135,0.1449,0.1346,0.1283,4.4394,0.2983,1
0.3061,0.1702,0.1243,0.1975,4.7143,0.3925,0
0.1605,0.2139,0.0817,0.0499,1.5907,0.6595,0
0.4361,0.1007,0.1093,0.1424,4.6936,0.3002,1
0.3211,0.1919,0.0764,0.1254,4.0425,0.635,0
0.3498,0.1115,0.1432,0.1735,5.9248,0.1587,1
0.4841,0.116,0.1067,0.2255,9.2687,0.1476,1
0.3933,0.1257,0.1259,0.1976,4.3041,0.3333,1
0.4046,0.2213,0.1068,0.1455,5.9029,0.4807,1
0.3156,0.1732,0.1012,0.1968,5.2597,0.4878,0
0.3616,0.1933,0.0809,0.0456,2.4601,0.6007,0
0.3118,0.2063,0.0763,0.0807,2.7591,0.539,0
0.2932,0.2444,0.0707,0.1171,2.9397,0.4121,1
0.4906,0.1529,0.1477,0.2605,5.4034,0.2513,1
0.2519,0.2177,0.0905,0.1596,3.17,0.5768,0
0.483,0.104,0.1066,0.2121,5.6405,0.3354,1
0.3467,0.1175,0.1343,0.1476,3.9436,0.3762,1
0.1822,0.1864,0.0807,0.0675,4.8205,0.6888,0
0.4145,0.2305,0.1144,0.1296,4.6744,0.4802,1
0.4844,0.1904,0.0861,0.1412,5.367,0.34,1
0.1925,0.1676,0.1224,0.1725,3.3402,0.3919,0
0.5578,0.1221,0.1199,0.185,6.0323,0.3972,1
0.4038,0.1357,0.1308,0.1619,4.9646,0.4195,1
0.2699,0.1444,0.1064,0.1759,4.8666,0.3555,1
0.2045,0.1976,0.1152,0.1035,4.8807,0.4516,1
0.3752,0.1363,0.1657,0.1903,6.9744,0.3933,1
0.2633,0.3082,0.105,0.069,3.2626,0.7451,0
0.3484,0.2415,0.1379,0.1307,5.0997,0.4971,0
0.4305,0.2286,0.1315,0.1392,5.0071,0.5025,1
0.3582,0.2035,0.1325,0.1371,5.2283,0.3229,1
0.168,0.2195,0.0516,0.0958,2.3305,0.6481,0
0.3872,0.1927,0.1232,0.1718,6.3218,0.3622,1
0.1339,0.2615,0.0583,0.0385,1.3067,0.8299,0
0.4016,0.2432,0.1482,0.1659,4.785,0.5537,1
0.1187,0.2786,0.0608,0.0337,1.3247,0.772,0
0.4642,0.18,0.1344,0.1848,5.1811,0.3167,1
0.3453,0.185,0.127,0.1464,4.895,0.3312,0
0.399,0.2235,0.162,0.1674,5.8686,0.4628,1
0.2761,0.1508,0.1022,0.097,3.1601,0.5827,1
0.5415,0.2175,0.1616,0.1858,7.0906,0.3288,1
0.4196,0.1554,0.0991,0.2279,6.3879,0.3385,1
0.2175,0.1707,0.0609,0.0977,4.7377,0.636,1
0.365,0.1778,0.0594,0.0868,3.1279,0.4614,0
0.438,0.1418,0.1208,0.1487,4.3978,0.5714,0
0.3695,0.2159,0.1299,0.1274,2.5574,0.3763,0
0.3255,0.1884,0.1092,0.1049,3.6643,0.5971,0
0.4904,0.1693,0.1198,0.1539,4.1141,0.3135,1
0.2391,0.2662,0.0857,0.145,2.2208,0.33,0
0.2416,0.2074,0.0861,0.0737,2.9887,0.6152,0
0.2473,0.1915,0.1375,0.1695,3.3401,0.4465,0
0.4188,0.1094,0.1679,0.1418,4.8561,0.3439,1
